,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,431,430,430,430,433,431,432,431,433,431,433,433,436,432,434,434,439,439,440,441,448,441,451,443,465,441,457,469,453,463,481,448,471,467,451,461,460,446,463,452,445,459,448,452,482,468,470,521,465,492,531,487,501,596,481,549,578,498,519,508,496,533,480,537,469,521,510,513,869,723,3635,6034,8983,12829,14829,18375,18940,20491,20090,20708,20998,20053,20937,19125,20178,19436,19377,19725,19236,20365,19354,20393,19215,20284,20258,19753,20777,19676,21236,20587,21040,20844,20755,21372,20254,21231,19801,20983,20713,20298,20937,19642,20813,19872,20469,20041,20439,20985,20091,21167,19523,20491,19644,19099,19206
0,12889,11776,12664,11134,12087,10944,11884,10975,12173,11742,12590,11925,12385,11304,12174,11329,12150,11440,12136,11060,11797,10531,11460,10027,11607,10863,11951,11638,11051,12074,11627,10878,11717,11385,10893,12140,11866,11101,11895,11600,10867,11874,11392,10228,10347,9349,7725,8045,6950,5292,5165,4029,2791,3660,3451,3072,4470,4992,5130,7172,7861,8231,10481,10062,12192,12031,12317,12641,12128,13116,12028,12922,11768,12590,12597,11860,12609,11740,13123,12369,13274,12673,13103,13380,12396,13543,12278,13939,13754,13899,14141,13127,13703,12085,12416,11120,11743,12083,11695,13235,12223,13901,13421,13583,13860,13538,14786,13917,14821,13428,13658,13093,11809,12534,11262,13057,12939,13818,14315,14524,15631,14734,15674,14105,14694
0,22079,20902,21766,20263,21328,20246,21224,20830,22000,21602,22084,21471,21828,20870,21881,21313,22388,21840,22961,21485,22479,22212,21369,22360,20927,22284,22619,22313,23888,23157,23814,24360,23022,23129,22248,21391,22010,20677,20419,20655,19294,20383,19750,19176,20044,18558,19664,19951,19426,20825,19730,21022,21225,20700,21963,20643,21901,22046,21551,22771,21480,22756,22693,22046,22972,21364,22495,22251,21741,22809,21362,22485,22050,21441,22386,20950,22288,22064,21923,22863,22101,23510,22506,22904,22003,22063,22353,21366,22443,20919,22167,21560,21550,21906,21346,22325,21210,22124,21186,22193,22269,21552,22328,20681,21844,20952,21253,21157,21182,22039,21105,22194,20802,21877,21522,21041,21729,20703,22114,21293,21851,21341,21549,22094,21156
0,430,429,429,429,429,428,429,428,430,429,428,429,430,429,428,428,430,429,430,431,431,429,430,430,430,430,429,430,430,428,431,430,429,428,429,430,430,430,429,428,430,432,431,430,429,429,431,430,430,428,429,430,431,428,429,429,429,429,428,429,429,429,431,430,430,429,430,430,427,430,429,430,429,429,429,429,431,429,430,429,430,431,430,430,429,431,428,430,428,428,431,429,429,428,429,430,429,428,429,430,429,431,429,430,432,428,430,429,430,430,430,429,429,432,429,430,430,431,433,430,431,430,432,431,431
0,19136,17794,19248,18387,19729,18413,19604,18039,18682,17101,18257,17223,18285,17101,18180,17167,17139,17191,17523,16907,16346,16559,16425,16109,16968,15698,16820,16722,15713,16371,15491,15340,16406,15716,15773,16634,15172,16102,16081,15088,15794,15309,15088,16358,15795,15695,16705,15208,15954,16142,15113,15832,16002,15698,17060,16359,15364,15030,12087,11576,8631,7210,4850,3318,2184,568,606,485,537,488,570,490,623,626,590,1175,613,1657,1519,1446,2190,1224,2356,1354,1913,1264,1706,2333,1775,3188,2013,3408,2878,2697,2975,2240,3310,2206,2817,1790,2446,2798,2492,3864,2596,3538,1733,620,472,465,446,435,435,431,430,429,429,429,428,428,429,429,428,427,428
0,19180,18682,19456,18493,19008,18520,19296,18994,19561,19165,19393,18405,18541,18134,19046,18631,19284,19049,19869,19207,20369,19040,19725,19462,18740,19614,18358,19109,19988,19233,19766,20100,19127,20297,19909,19361,20457,19353,19817,20628,19652,19811,20251,19030,20208,19997,19208,20035,18944,18903,19757,18923,19144,19746,19148,20214,19059,19714,18783,19517,19715,18865,19717,18202,19543,18911,19065,19133,18630,19544,18571,19660,18756,19955,20124,19735,20862,19691,20988,20016,20033,19493,19156,19799,18881,20053,18855,20030,19743,19243,19932,18743,19893,18787,19028,18388,18441,19056,18156,19207,17735,18852,18405,18124,18732,17828,19000,17964,18589,17998,18576,19124,18403,19501,18030,19204,18470,18242,18488,17804,18908,17794,18290,16855,17017
0,427,427,429,429,426,428,428,429,428,428,429,428,428,429,429,428,427,429,428,428,428,428,430,428,428,428,427,428,429,428,428,427,427,428,430,429,428,427,428,429,429,428,428,427,429,428,429,429,428,428,428,429,429,428,429,428,427,429,429,427,427,428,428,427,426,429,429,428,428,427,428,429,428,428,429,428,429,429,427,430,434,434,469,504,609,2340,2886,6474,8464,10559,13220,14144,16858,17175,19004,19123,20343,21199,20764,22153,21123,22787,22313,22102,21925,20579,20906,19314,19857,18933,19956,20438,19940,20998,19461,20538,19639,19637,19654,19196,20017,18831,19605,18302,19074
0,17506,17907,17284,18030,17134,17864,17315,17849,17257,17628,17139,17710,17210,18055,17411,18313,17358,17676,16544,17656,17109,16782,17864,16568,17375,17851,16899,17409,17479,16733,17950,17428,16848,17725,16356,16820,17621,16886,17622,17899,17245,18394,17678,16980,17690,16138,16614,17174,16292,16722,16976,16226,17425,16580,16794,17113,16636,17970,17230,17614,17600,16818,17552,16200,16199,15996,15608,16873,16074,17139,16225,16717,17185,16189,17155,16174,16851,17378,16531,17565,16491,17485,17607,16986,17800,16365,17579,16763,17060,17072,16832,17548,16358,17141,15743,16633,16446,15947,16979,16165,17837,17069,16887,15357,13438,11726,8068,6258,2126,657,457,442,433,432,429,429,428,429,429,428,429,429,427,428,429
0,21568,20913,21579,20577,21163,20593,21167,21388,21980,21931,21990,22352,22388,21879,22006,21733,21654,21049,20977,20455,20783,20112,21312,20295,21707,22205,21648,22856,21713,22481,22884,21974,22649,21872,21610,22166,20802,20570,20399,19206,20183,19490,19226,20202,19064,20477,20701,20202,21374,20409,20955,21565,20577,21331,20304,21041,21036,20092,20708,18911,19844,18933,18848,18918,18618,19824,19118,20287,19393,20269,20266,19611,20697,19655,21297,20890,21243,21334,20804,21447,20201,20957,19610,20531,20306,19766,20627,19573,20953,20104,20432,20120,20166,21061,20398,21709,20614,21777,21411,20825,21229,19991,21002,19863,20137,19361,19327,19618,18535,19494,18112,19404,19100,19165,20065,19609,21129,20291,20852,19965,20266,20437,19454,20320,18800
0,442,439,443,438,441,436,438,435,439,436,438,435,440,433,436,433,433,437,433,438,434,438,436,438,441,438,442,436,440,440,433,439,432,436,433,433,437,432,437,434,433,437,432,436,435,431,437,433,437,439,436,438,438,436,440,437,437,444,434,443,439,437,444,434,439,438,435,439,435,436,439,434,441,434,446,441,435,437,430,431,429,430,429,428,428,430,431,429,428,429,429,430,429,427,429,430,429,428,428,429,430,430,431,430,430,432,430,430,431,431,430,431,428,428,431,429,430,430,429,431,429,431,430,431,430
0,12989,13289,13988,12911,13154,14405,14065,13600,14170,14210,12932,13521,13948,13061,12828,13728,13178,12536,13544,13995,13221,12945,13786,13074,12577,13556,13606,12973,13156,14159,13410,13224,14335,14571,13862,13796,14627,14094,13451,14370,14736,13993,13625,14310,14154,13151,13929,14584,13938,13520,14140,14124,12919,13486,14134,13539,12966,13538,14120,13081,13666,14720,14437,13991,14551,15035,13818,14240,15214,14982,14384,14799,15618,14538,14573,15551,15460,14696,14798,15611,14749,14305,15237,15346,14479,14222,14965,14564,13813,14808,15485,15025,14841,15713,15912,14872,15557,16283,15726,15096,15554,16023,14802,15232,16205,15956,15329,15693,16445,15262,15183,16057,15890,15019,15042,15894,15134,14863,16021,16392,15754,15659,16441,15954,15041
0,16242,17512,16903,18274,17263,18596,17476,18267,16659,17720,16551,17424,16512,17299,17826,17087,18174,17103,17768,18307,17409,17158,18071,18239,17513,18571,17506,18301,18738,17901,18754,18017,18146,18995,18022,18274,18347,17634,18868,18222,18176,18895,17685,18968,18723,18261,19407,18264,19299,19713,18977,19935,19383,19644,20659,19820,20117,20245,19340,20483,19874,19741,20709,19400,20540,20339,19518,20304,18928,19392,19857,18880,19706,18793,19730,19999,19536,20710,19549,20875,20114,20104,20041,19578,20527,19630,20617,19597,20435,20252,19626,20582,19549,21184,20686,21124,21112,20995,21787,20633,21291,19488,20243,20163,20365,22187,22512,24819,24828,24832,24825,24820,24829,24826,24830,24821,24821,24828,24827,24825,24827,24822,24821,24832,24822
